id,city_id,name,status,type,code
289,26,Như Thanh,active,huyen,403
290,26,Nông Cống,active,huyen,404
291,26,Đông Sơn,active,huyen,405
292,26,Quảng Xương,active,huyen,406
293,26,Tĩnh Gia,active,huyen,407
294,27,Vinh,active,thanh-pho,412
295,27,Cửa Lò,active,xa,413
296,27,Thái Hoà,active,xa,414
297,27,Quế Phong,active,huyen,415
298,27,Quỳ Châu,active,huyen,416
299,27,Kỳ Sơn,active,huyen,417
300,27,Tương Dương,active,huyen,418
301,27,Nghĩa Đàn,active,huyen,419
302,27,Quỳ Hợp,active,huyen,420
303,27,Quỳnh Lưu,active,huyen,421
304,27,Con Cuông,active,huyen,422
305,27,Tân Kỳ,active,huyen,423
306,27,Anh Sơn,active,huyen,424
307,27,Diễn Châu,active,huyen,425
308,27,Yên Thành,active,huyen,426
309,27,Đô Lương,active,huyen,427
310,27,Thanh Chương,active,huyen,428
311,27,Nghi Lộc,active,huyen,429
312,27,Nam Đàn,active,huyen,430
313,27,Hưng Nguyên,active,huyen,431
314,28,Hà Tĩnh,active,thanh-pho,436
315,28,Hồng Lĩnh,active,xa,437
316,28,Hương Sơn,active,huyen,439
317,28,Đức Thọ,active,huyen,440
318,28,Vũ Quang,active,huyen,441
319,28,Nghi Xuân,active,huyen,442
320,28,Can Lộc,active,huyen,443
321,28,Hương Khê,active,huyen,444
322,28,Thạch Hà,active,huyen,445
323,28,Cẩm Xuyên,active,huyen,446
324,28,Kỳ Anh,active,huyen,447
325,28,Lộc Hà,active,huyen,448
326,29,Đồng Hới,active,thanh-pho,450
327,29,Minh Hóa,active,huyen,452
328,29,Tuyên Hóa,active,huyen,453
329,29,Quảng Trạch,active,huyen,454
330,29,Bố Trạch,active,huyen,455
331,29,Quảng Ninh,active,huyen,456
332,29,Lệ Thủy,active,huyen,457
333,30,Đông Hà,active,thanh-pho,461
334,30,Quảng Trị,active,xa,462
335,30,Vĩnh Linh,active,huyen,464
336,30,Hướng Hóa,active,huyen,465
337,30,Gio Linh,active,huyen,466
338,30,Đa Krông,active,huyen,467
339,30,Cam Lộ,active,huyen,468
340,30,Triệu Phong,active,huyen,469
341,30,Hải Lăng,active,huyen,470
342,30,Cồn Cỏ,active,huyen,471
343,31,Huế,active,thanh-pho,474
344,31,Phong Điền,active,huyen,476
345,31,Quảng Điền,active,huyen,477
346,31,Phú Vang,active,huyen,478
347,31,Hương Thủy,active,huyen,479
348,31,Hương Trà,active,huyen,480
349,31,A Lưới,active,huyen,481
350,31,Phú Lộc,active,huyen,482
351,31,Nam Đông,active,huyen,483
352,32,Liên Chiểu,active,quan,490
353,32,Thanh Khê,active,quan,491
354,32,Hải Châu,active,quan,492
355,32,Sơn Trà,active,quan,493
356,32,Ngũ Hành Sơn,active,quan,494
357,32,Cẩm Lệ,active,quan,495
358,32,Hoà Vang,active,huyen,497
359,32,Hoàng Sa,active,huyen,498
360,33,Tam Kỳ,active,thanh-pho,502
361,33,Hội An,active,thanh-pho,503
362,33,Tây Giang,active,huyen,504
363,33,Đông Giang,active,huyen,505
364,33,Đại Lộc,active,huyen,506
365,33,Điện Bàn,active,huyen,507
366,33,Duy Xuyên,active,huyen,508
367,33,Quế Sơn,active,huyen,509
368,33,Nam Giang,active,huyen,510
369,33,Phước Sơn,active,huyen,511
370,33,Hiệp Đức,active,huyen,512
371,33,Thăng Bình,active,huyen,513
372,33,Tiên Phước,active,huyen,514
373,33,Bắc Trà My,active,huyen,515
374,33,Nam Trà My,active,huyen,516
375,33,Núi Thành,active,huyen,517
376,33,Phú Ninh,active,huyen,518
377,33,Nông Sơn,active,huyen,519
378,34,Quảng Ngãi,active,thanh-pho,522
379,34,Bình Sơn,active,huyen,524
380,34,Trà Bồng,active,huyen,525
381,34,Tây Trà,active,huyen,526
382,34,Sơn Tịnh,active,huyen,527
383,34,Tư Nghĩa,active,huyen,528
384,34,Sơn Hà,active,huyen,529
385,34,Sơn Tây,active,huyen,530
386,34,Minh Long,active,huyen,531
387,34,Nghĩa Hành,active,huyen,532
388,34,Mộ Đức,active,huyen,533
389,34,Đức Phổ,active,huyen,534
390,34,Ba Tơ,active,huyen,535
391,34,Lý Sơn,active,huyen,536
392,35,Qui Nhơn,active,thanh-pho,540
393,35,An Lão,active,huyen,542
394,35,Hoài Nhơn,active,huyen,543
395,35,Hoài Ân,active,huyen,544
396,35,Phù Mỹ,active,huyen,545
397,35,Vĩnh Thạnh,active,huyen,546
398,35,Tây Sơn,active,huyen,547
399,35,Phù Cát,active,huyen,548
400,35,An Nhơn,active,huyen,549
401,35,Tuy Phước,active,huyen,550
402,35,Vân Canh,active,huyen,551
403,36,Tuy Hòa,active,thanh-pho,555
404,36,Sông Cầu,active,xa,557
405,36,Đồng Xuân,active,huyen,558
406,36,Tuy An,active,huyen,559
407,36,Sơn Hòa,active,huyen,560
408,36,Sông Hinh,active,huyen,561
409,36,Tây Hoà,active,huyen,562
410,36,Phú Hoà,active,huyen,563
411,36,Đông Hoà,active,huyen,564
412,37,Nha Trang,active,thanh-pho,568
413,37,Cam Ranh,active,xa,569
414,37,Cam Lâm,active,huyen,570
415,37,Vạn Ninh,active,huyen,571
416,37,Ninh Hòa,active,huyen,572
417,37,Khánh Vĩnh,active,huyen,573
418,37,Diên Khánh,active,huyen,574
419,37,Khánh Sơn,active,huyen,575
420,37,Trường Sa,active,huyen,576
421,38,Phan Rang-Tháp Chàm,active,thanh-pho,582
422,38,Bác Ái,active,huyen,584
423,38,Ninh Sơn,active,huyen,585
424,38,Ninh Hải,active,huyen,586
425,38,Ninh Phước,active,huyen,587
426,38,Thuận Bắc,active,huyen,588
427,38,Thuận Nam,active,huyen,589
428,39,Phan Thiết,active,thanh-pho,593
429,39,La Gi,active,xa,594
430,39,Tuy Phong,active,huyen,595
431,39,Bắc Bình,active,huyen,596
432,39,Hàm Thuận Bắc,active,huyen,597
433,39,Hàm Thuận Nam,active,huyen,598
434,39,Tánh Linh,active,huyen,599
435,39,Đức Linh,active,huyen,600
436,39,Hàm Tân,active,huyen,601
437,39,Phú Quí,active,huyen,602
438,40,Kon Tum,active,thanh-pho,608
439,40,Đắk Glei,active,huyen,610
440,40,Ngọc Hồi,active,huyen,611
441,40,Đắk Tô,active,huyen,612
442,40,Kon Plông,active,huyen,613
443,40,Kon Rẫy,active,huyen,614
444,40,Đắk Hà,active,huyen,615
445,40,Sa Thầy,active,huyen,616
446,40,Tu Mơ Rông,active,huyen,617
447,41,Pleiku,active,thanh-pho,622
448,41,An Khê,active,xa,623
449,41,Ayun Pa,active,xa,624
450,41,Kbang,active,huyen,625
451,41,Đăk Đoa,active,huyen,626
452,41,Chư Păh,active,huyen,627
453,41,Ia Grai,active,huyen,628
454,41,Mang Yang,active,huyen,629
455,41,Kông Chro,active,huyen,630
456,41,Đức Cơ,active,huyen,631
457,41,Chư Prông,active,huyen,632
458,41,Chư Sê,active,huyen,633
459,41,Đăk Pơ,active,huyen,634
460,41,Ia Pa,active,huyen,635
461,41,Krông Pa,active,huyen,637
462,41,Phú Thiện,active,huyen,638
463,41,Chư Pưh,active,huyen,639
464,42,Buôn Ma Thuột,active,thanh-pho,643
465,42,Buôn Hồ,active,xa,644
466,42,Ea H'leo,active,huyen,645
467,42,Ea Súp,active,huyen,646
468,42,Buôn Đôn,active,huyen,647
469,42,Cư M'gar,active,huyen,648
470,42,Krông Búk,active,huyen,649
471,42,Krông Năng,active,huyen,650
472,42,Ea Kar,active,huyen,651
473,42,M'đrắk,active,huyen,652
474,42,Krông Bông,active,huyen,653
475,42,Krông Pắc,active,huyen,654
